,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08648443222045898,0.03344768571002487,0.003457498550415039,0.00017663379417174365,5,5,10,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 10}",-0.5365006170539905,-0.4757945393417129,-0.40724882018326264,-0.5500505966321105,-0.4046815597939373,-0.4748552266010027,0.0615635441613153,89
1,0.8141898155212403,0.33563587921852867,0.014527034759521485,0.0003963524097064996,5,5,100,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.5208414649235276,-0.4680014627799362,-0.4007036125568773,-0.5187148939734741,-0.38488729473326544,-0.4586297457934162,0.05720443708020349,82
2,4.076339673995972,1.707286368158031,0.06298227310180664,0.0015219550972026376,5,5,500,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 500}",-0.5181466428980627,-0.4660551873173176,-0.4014425616642462,-0.5129415591162999,-0.38378999208771736,-0.4564751886167288,0.05548932053904589,80
3,6.066976165771484,2.539460611180596,0.0963244915008545,0.005944867797602243,5,5,750,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 750}",-0.519476071039832,-0.4663016754202965,-0.4015456037974104,-0.5108644756696324,-0.3827770108806303,-0.4561929673615603,0.05562759750514743,76
4,8.05430474281311,3.378659850375014,0.14067282676696777,0.024500669493892013,5,5,1000,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 1000}",-0.5192014378095698,-0.46613581903593687,-0.4018924475471998,-0.5109145656357383,-0.3832138610617752,-0.456271626218044,0.0553856415285468,78
5,9.708742046356202,4.060735982555697,0.14862327575683593,0.003340264552434111,5,5,1200,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 1200}",-0.5193004186469075,-0.46565622445855265,-0.40161085164995325,-0.5096427828579672,-0.38322775524147373,-0.4558876065709708,0.05519356797388355,73
6,0.08415956497192383,0.03376458359125832,0.0034221649169921876,0.00018169401724649334,5,10,10,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 10}",-0.5247571296093416,-0.47738417803728883,-0.40785544150173564,-0.5492234040532858,-0.40532759457764284,-0.472909549555859,0.05887504710673061,88
7,0.8108696460723877,0.341719877910033,0.01615419387817383,0.003240345102053839,5,10,100,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 100}",-0.5179444384662455,-0.4683490528387436,-0.4010588962086133,-0.5186158554089226,-0.3849770742240257,-0.45818906342931026,0.05647863098484492,81
8,4.033455753326416,1.6916957955915848,0.06228780746459961,0.0014624837168144104,5,10,500,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 500}",-0.5173996200695586,-0.4665336252826747,-0.4014442845705641,-0.5129724982539609,-0.3838351578521354,-0.4564370372057787,0.055335109440981786,79
9,6.049401092529297,2.546461776707857,0.09583601951599122,0.005762334436163111,5,10,750,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 750}",-0.5186826290767498,-0.46679891520889605,-0.4016193235163343,-0.5108800399274681,-0.3828010882092551,-0.45615639918774065,0.05544864957551906,75
10,8.10157151222229,3.4298146624994716,0.12852034568786622,0.007958618928487439,5,10,1000,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 1000}",-0.5183666667869996,-0.46672566644552155,-0.40191711334312225,-0.5109312258619234,-0.3832957601521586,-0.4562472865179451,0.05519536210479685,77
11,9.71157341003418,4.061559040279483,0.15198631286621095,0.006995205319162155,5,10,1200,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 1200}",-0.5186128614468677,-0.46631602907500597,-0.4016174436632434,-0.5096655447143797,-0.3833110029994422,-0.4559045763797878,0.05504160018433919,74
12,0.08247761726379395,0.03448194920618621,0.0036077022552490233,0.0003515515185005319,5,25,10,"{'max_depth': 5, 'min_samples_leaf': 25, 'n_estimators': 10}",-0.5356492897025666,-0.4809937474330262,-0.40850523809572514,-0.5502504786766139,-0.40553497337636046,-0.47618674545685846,0.061019336855473234,90
13,0.8038052082061767,0.3428263320901465,0.014197349548339844,0.0007854059219702886,5,25,100,"{'max_depth': 5, 'min_samples_leaf': 25, 'n_estimators': 100}",-0.5273785688458086,-0.474504320526968,-0.4015709269849438,-0.5194041099331278,-0.385280118170808,-0.46162760889233123,0.058758602588966896,87
14,4.0156717777252195,1.724191567672289,0.06341943740844727,0.003918932397619476,5,25,500,"{'max_depth': 5, 'min_samples_leaf': 25, 'n_estimators': 500}",-0.528049845578293,-0.47252729475776434,-0.4021387607517479,-0.5136756385960347,-0.38426902092766463,-0.4601321121223009,0.05788230421537007,86
15,6.022272109985352,2.565219789148609,0.09219183921813964,0.00308378674510445,5,25,750,"{'max_depth': 5, 'min_samples_leaf': 25, 'n_estimators': 750}",-0.5291934546977628,-0.47261200897227684,-0.40234767598218846,-0.5115803439771796,-0.38321747934652367,-0.4597901925951863,0.05801112768245931,84
16,7.9980004787445065,3.4139323525199856,0.12022080421447753,0.004464961497912814,5,25,1000,"{'max_depth': 5, 'min_samples_leaf': 25, 'n_estimators': 1000}",-0.5290804527391455,-0.4725147275500285,-0.40264270582011513,-0.5116329676497292,-0.3836959313710489,-0.45991335702601344,0.057804538324528754,85
