,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5878655433654785,0.1570931887940968,0.009444379806518554,0.0001679656165467998,0.001,3,100,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",-5.619344861354228,-5.770322151415944,-5.492643618233972,-5.1642710315819595,-5.468172595200011,-5.502950851557223,0.20052668856652078,64
1,3.5133241176605225,1.5653149662761843,0.05081310272216797,0.0022026629776321343,0.001,3,700,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 700}",-3.2915476880777903,-3.3308561156104224,-3.063846916429072,-2.7441658250405245,-3.0536282798397276,-3.0968089649995076,0.20976629440985367,60
2,5.0623026371002195,2.2701958272902347,0.07598419189453125,0.007057329790881897,0.001,3,1000,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1000}",-2.56057134654002,-2.5553577941676178,-2.306673478295979,-2.000366663628368,-2.2940669273878083,-2.3434072420039582,0.20666105550696467,56
3,6.090425777435303,2.7536487962380756,0.0850982666015625,0.0014864123969676386,0.001,3,1200,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 1200}",-2.18365506604109,-2.1531362607725693,-1.9181824104063907,-1.6277088228378973,-1.9049577534191895,-1.9575280626954275,0.20124037246473364,48
4,0.7971187114715577,0.3621028874905759,0.011704397201538087,0.0006502072773583109,0.001,5,100,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",-5.6186574247005465,-5.762772813075967,-5.4900322806265605,-5.1704069727346385,-5.46605949959679,-5.5015857981469,0.19646854128266056,63
5,5.722876024246216,2.6478953018235254,0.09802107810974121,0.012418588347609399,0.001,5,700,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 700}",-3.2787964188692427,-3.2859815912177677,-3.050341452000071,-2.7746482966654407,-3.0298541474235017,-3.083924381235205,0.1889472555846459,59
6,8.313277673721313,3.855035697546856,0.14449892044067383,0.008357094579079703,0.001,5,1000,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1000}",-2.542292543161957,-2.4886958151545735,-2.279564099459281,-2.028739517528129,-2.2627462315843094,-2.32040764137765,0.18309404503625787,54
7,10.008263063430785,4.5765218767755655,0.1680248737335205,0.011539888067198073,0.001,5,1200,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 1200}",-2.160223436263516,-2.072688311398398,-1.8815500709350208,-1.6500316086755933,-1.866597668519571,-1.92621821915842,0.17778685378135844,47
8,1.1003660202026366,0.5928723861115741,0.012845182418823242,0.0014603238794406903,0.001,8,100,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 100}",-5.6186574247005465,-5.761471519874633,-5.488028341579792,-5.171531299351249,-5.467179276540226,-5.501373572409289,0.1957292591494338,61
9,8.245922231674195,4.254304759569542,0.11692943572998046,0.009478017166001182,0.001,8,700,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 700}",-3.2789498350469155,-3.2764613047521634,-3.037290386120792,-2.778954347687202,-3.0268251778708652,-3.0796962102955874,0.18625669238543302,58
10,12.340989017486573,6.2603644888829955,0.1736314296722412,0.023615038058871746,0.001,8,1000,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1000}",-2.5411832683965754,-2.4778909120514507,-2.269181808960418,-2.037563615704799,-2.2574323632332383,-2.316650393669296,0.1789206460412192,52
11,15.150945520401,7.733320271649388,0.2114964485168457,0.030263246535389424,0.001,8,1200,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1200}",-2.1605948403851225,-2.061530067773463,-1.8735775415451574,-1.6588026357380536,-1.8589827255575226,-1.9226975621998639,0.17434590251655532,45
12,1.1157317638397217,0.6039382697859126,0.012360048294067384,0.0015322877242612111,0.001,10,100,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",-5.6186574247005465,-5.761471519874633,-5.488028341579792,-5.171531299351249,-5.467179276540226,-5.501373572409289,0.1957292591494338,61
13,8.57604160308838,4.529704771042325,0.11343498229980468,0.017475470170119096,0.001,10,700,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 700}",-3.2789498350469155,-3.2764623806383737,-3.03716151380264,-2.7789687262296185,-3.0268239161088077,-3.079673274365271,0.18625822382305326,57
14,12.88217339515686,6.803280061342085,0.17213449478149415,0.02749824240335491,0.001,10,1000,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1000}",-2.5411807173407266,-2.477962732684599,-2.2695308032319486,-2.0377412552846845,-2.257390329444845,-2.316761167597361,0.17886184282936676,53
15,16.340823793411253,8.633811833587949,0.22760543823242188,0.032593111053648746,0.001,10,1200,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 1200}",-2.160567843367952,-2.0615460899283855,-1.8747662538891485,-1.6595730809382625,-1.8587326550983596,-1.9230371846444214,0.17405977128239986,46
16,0.5309044361114502,0.2367837881581564,0.010391569137573243,0.0002357967509767042,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",-2.5513523099523074,-2.5459547383055194,-2.2967757496194117,-1.9901176250060624,-2.2845868867509287,-2.333757461926846,0.20700189951641215,55
